Edad,Hombres,Mujeres
0 Años,1856,1848
1 Año,1921,1886
2 Años,2154,1988
3 Años,2165,2157
4 Años,2158,2165
5 Años,2200,2162
6 Años,2191,2194
7 Años,2304,2158
8 Años,2286,2149
9 Años,2246,2178
10 Años,2339,2151
11 Años,2125,2044
12 Años,2167,2121
13 Años,2128,2088
14 Años,2102,2047
15 Años,2335,2361
16 Años,2409,2226
17 Años,2524,2451
18 Años,2491,2308
19 Años,2254,2247
20 Años,2479,2447
21 Años,2145,1935
22 Años,2318,2189
23 Años,2157,2050
24 Años,1974,1975
25 Años,2028,2000
26 Años,1874,1945
27 Años,1834,1831
28 Años,1906,2035
29 Años,1615,1688
30 Años,2034,2222
31 Años,1399,1551
32 Años,1800,2104
33 Años,1723,1886
34 Años,1734,1973
35 Años,1898,2140
36 Años,1803,2065
37 Años,1643,1837
38 Años,1843,2019
39 Años,1499,1675
40 Años,1928,2048
41 Años,1170,1274
42 Años,1732,1886
43 Años,1369,1528
44 Años,1234,1302
45 Años,1506,1671
46 Años,1243,1475
47 Años,1202,1288
48 Años,1202,1355
49 Años,1191,1236
50 Años,1433,1636
51 Años,879,970
52 Años,1039,1263
53 Años,971,991
54 Años,921,1003
55 Años,956,1069
56 Años,880,924
57 Años,671,765
58 Años,706,764
59 Años,646,692
60 Años,853,874
61 Años,438,471
62 Años,605,706
63 Años,591,637
64 Años,533,587
65 Años,568,598
66 Años,391,426
67 Años,378,414
68 Años,372,443
69 Años,330,406
70 Años,408,512
71 Años,235,220
72 Años,319,369
73 Años,257,308
74 Años,266,304
75 Años,236,285
76 Años,212,232
77 Años,173,166
78 Años,218,232
79 Años,121,161
80 Años,196,200
81 Años,84,101
82 Años,116,129
83 Años,100,126
84 Años,96,161
85 Años,110,142
86 Años,95,91
87 Años,66,110
88 Años,58,73
89 Años,48,55
90 Años,46,59
91 Años,12,24
92 Años,20,38
93 Años,18,27
94 Años,11,23
95 Años,9,22
96 Años,8,14
97 Años,11,11
98 Años,5,8
99 Años,3,5
100 años y más,4,21
No especificado,2088,2076
