Edad,Hombres,Mujeres
0 Años,1871,1798
1 Año,2013,1949
2 Años,2087,1960
3 Años,2065,2103
4 Años,2102,1951
5 Años,2054,2076
6 Años,2163,2034
7 Años,2159,2071
8 Años,2357,2296
9 Años,2130,2155
10 Años,2504,2383
11 Años,2269,2217
12 Años,2453,2313
13 Años,2339,2271
14 Años,2262,2312
15 Años,2588,2473
16 Años,2482,2473
17 Años,2639,2646
18 Años,2803,2671
19 Años,2498,2396
20 Años,2872,2724
21 Años,2390,2254
22 Años,2639,2509
23 Años,2398,2301
24 Años,2193,2259
25 Años,2373,2377
26 Años,2132,2191
27 Años,2134,2256
28 Años,2191,2222
29 Años,1873,2051
30 Años,2533,2564
31 Años,1565,1681
32 Años,2183,2321
33 Años,1812,2065
34 Años,1843,2012
35 Años,2146,2363
36 Años,1901,2197
37 Años,1767,1868
38 Años,2093,2268
39 Años,1694,1910
40 Años,2375,2671
41 Años,1396,1571
42 Años,2119,2369
43 Años,1707,1992
44 Años,1531,1737
45 Años,2130,2361
46 Años,1671,1980
47 Años,1580,1899
48 Años,1672,1971
49 Años,1567,1723
50 Años,1993,2242
51 Años,1162,1426
52 Años,1631,1825
53 Años,1485,1651
54 Años,1420,1664
55 Años,1370,1635
56 Años,1390,1541
57 Años,1066,1273
58 Años,1233,1334
59 Años,1111,1280
60 Años,1414,1694
61 Años,782,923
62 Años,1065,1190
63 Años,985,1103
64 Años,896,959
65 Años,979,1222
66 Años,691,782
67 Años,646,736
68 Años,785,768
69 Años,562,631
70 Años,694,847
71 Años,369,497
72 Años,567,681
73 Años,459,558
74 Años,445,550
75 Años,432,498
76 Años,381,394
77 Años,264,305
78 Años,255,416
79 Años,257,325
80 Años,321,369
81 Años,170,186
82 Años,220,296
83 Años,141,219
84 Años,179,239
85 Años,153,188
86 Años,138,170
87 Años,97,115
88 Años,70,95
89 Años,49,103
90 Años,61,93
91 Años,36,54
92 Años,35,62
93 Años,40,47
94 Años,22,48
95 Años,21,42
96 Años,17,30
97 Años,10,26
98 Años,9,18
99 Años,3,9
100 años y más,14,24
No especificado,27,24
