"","Edad","Hombres","Mujeres"
"1","0-4",10238.6220062879,10031.3035801426
"2","5-9",11210.1627915539,10827.2961083558
"3","10-14",11248.2930214998,10836.6592576055
"4","15-19",11693.811371064,11221.9216387325
"5","20-24",10999.6664484975,10620.3705099378
"6","25-29",9418.54123424387,9674.56759372957
"7","30-34",8747.23700588397,9716.82660734315
"8","35-39",8471.71333123407,9483.74661202099
"9","40-44",7521.01623958819,8228.6476655982
"10","45-49",6340.41445543717,6985.15902424503
"11","50-54",5166.55254826512,5759.77247144125
"12","55-59",3947.75812789988,4330.76863295432
"13","60-64",2937.08861239476,3194.58168200254
"14","65-69",2096.28895926722,2342.78478426119
"15","70-74",1449.94723823686,1659.77425699417
"16","75-79",958.560281454688,1074.63984988385
"17","80-84",591.112173563724,716.093654615912
"18","85 y más",523.214153627351,722.08607013571
