"","Edad","Hombres","Mujeres"
"1","0 Años",1871,1798
"2","1 Año",2013,1949
"3","2 Años",2087,1960
"4","3 Años",2065,2103
"5","4 Años",2102,1951
"6","5 Años",2054,2076
"7","6 Años",2163,2034
"8","7 Años",2159,2071
"9","8 Años",2357,2296
"10","9 Años",2130,2155
"11","10 Años",2504,2383
"12","11 Años",2269,2217
"13","12 Años",2453,2313
"14","13 Años",2339,2271
"15","14 Años",2262,2312
"16","15 Años",2588,2473
"17","16 Años",2482,2473
"18","17 Años",2639,2646
"19","18 Años",2803,2671
"20","19 Años",2498,2396
"21","20 Años",2872,2724
"22","21 Años",2390,2254
"23","22 Años",2639,2509
"24","23 Años",2398,2301
"25","24 Años",2193,2259
"26","25 Años",2373,2377
"27","26 Años",2132,2191
"28","27 Años",2134,2256
"29","28 Años",2191,2222
"30","29 Años",1873,2051
"31","30 Años",2533,2564
"32","31 Años",1565,1681
"33","32 Años",2183,2321
"34","33 Años",1812,2065
"35","34 Años",1843,2012
"36","35 Años",2146,2363
"37","36 Años",1901,2197
"38","37 Años",1767,1868
"39","38 Años",2093,2268
"40","39 Años",1694,1910
"41","40 Años",2375,2671
"42","41 Años",1396,1571
"43","42 Años",2119,2369
"44","43 Años",1707,1992
"45","44 Años",1531,1737
"46","45 Años",2130,2361
"47","46 Años",1671,1980
"48","47 Años",1580,1899
"49","48 Años",1672,1971
"50","49 Años",1567,1723
"51","50 Años",1993,2242
"52","51 Años",1162,1426
"53","52 Años",1631,1825
"54","53 Años",1485,1651
"55","54 Años",1420,1664
"56","55 Años",1370,1635
"57","56 Años",1390,1541
"58","57 Años",1066,1273
"59","58 Años",1233,1334
"60","59 Años",1111,1280
"61","60 Años",1414,1694
"62","61 Años",782,923
"63","62 Años",1065,1190
"64","63 Años",985,1103
"65","64 Años",896,959
"66","65 Años",979,1222
"67","66 Años",691,782
"68","67 Años",646,736
"69","68 Años",785,768
"70","69 Años",562,631
"71","70 Años",694,847
"72","71 Años",369,497
"73","72 Años",567,681
"74","73 Años",459,558
"75","74 Años",445,550
"76","75 Años",432,498
"77","76 Años",381,394
"78","77 Años",264,305
"79","78 Años",255,416
"80","79 Años",257,325
"81","80 Años",321,369
"82","81 Años",170,186
"83","82 Años",220,296
"84","83 Años",141,219
"85","84 Años",179,239
"86","85 Años",153,188
"87","86 Años",138,170
"88","87 Años",97,115
"89","88 Años",70,95
"90","89 Años",49,103
"91","90 Años",61,93
"92","91 Años",36,54
"93","92 Años",35,62
"94","93 Años",40,47
"95","94 Años",22,48
"96","95 Años",21,42
"97","96 Años",17,30
"98","97 Años",10,26
"99","98 Años",9,18
"100","99 Años",3,9
"101","100 años y más",14,24
